Area Name,Employment,Annual median wage,"Employment per 1,000 jobs",Location Quotient
"Denver-Aurora-Lakewood, CO(0019740)",         260,           -,       0.167,        0.92
"Detroit-Warren-Dearborn, MI(0019820)",         190,       33220,       0.101,        0.56
"Durham-Chapel Hill, NC(0020500)",          30,       58600,       0.105,        0.58
East Central Illinois nonmetropolitan area(1700003),          40,       28630,       0.376,        2.08
East South Dakota nonmetropolitan area(4600002),         100,       37460,       0.794,        4.38
East-Central Montana nonmetropolitan area(3000006),          50,       35210,       0.714,        3.94
Eastern New Mexico nonmetropolitan area(3500007),          60,       31200,       0.373,        2.06
"Eau Claire, WI(0020740)",          40,       35230,       0.523,        2.88
"Fargo, ND-MN(0022020)",          80,       47620,       0.587,        3.23
"Fayetteville-Springdale-Rogers, AR-MO(0022220)",          40,       28230,       0.153,        0.84
"Flint, MI(0022420)",          40,       28230,       0.312,        1.72
"Fort Wayne, IN(0023060)",          50,       40000,       0.250,        1.38
"Fresno, CA(0023420)",          70,       52320,       0.185,        1.02
"Grand Rapids-Wyoming, MI(0024340)",          40,       40180,       0.067,        0.37
"Greensboro-High Point, NC(0024660)",          60,       52020,       0.166,        0.92
"Greenville-Anderson-Mauldin, SC(0024860)",          50,       22820,       0.118,        0.65
"Hartford-West Hartford-East Hartford, CT(0073450)",         120,           -,       0.222,        1.23
Hill Country Region of Texas nonmetropolitan area(4800004),          50,       28740,       0.232,        1.28
"Huntsville, AL(0026620)",          80,       39330,       0.316,        1.74
"Indianapolis-Carmel-Anderson, IN(0026900)",         170,       39890,       0.159,        0.87
"Jackson, MS(0027140)",          30,           -,       0.141,        0.78
"Jacksonville, FL(0027260)",          60,       35540,       0.082,        0.45
"Kansas City, MO-KS(0028140)",         310,       43330,       0.292,        1.61
Kansas nonmetropolitan area(2000006),         170,       28290,       0.438,        2.41
"Kingsport-Bristol-Bristol, TN-VA(0028700)",          50,       32950,       0.438,        2.42
"Knoxville, TN(0028940)",         170,       39560,       0.433,        2.39
"Lansing-East Lansing, MI(0029620)",          60,       28930,       0.303,        1.67
"Las Vegas-Henderson-Paradise, NV(0029820)",         220,       54160,       0.211,        1.16
"Lexington-Fayette, KY(0030460)",          70,       34120,       0.256,        1.41
"Little Rock-North Little Rock-Conway, AR(0030780)",          50,       32000,       0.159,        0.88
"Los Angeles-Long Beach-Anaheim, CA(0031080)",        2380,           -,       0.390,        2.15
"Louisville/Jefferson County, KY-IN(0031140)",         100,       40370,       0.158,        0.87
"Madison, WI(0031540)",         110,       38610,       0.274,        1.51
"McAllen-Edinburg-Mission, TX(0032580)",          30,       26930,       0.113,        0.62
"Memphis, TN-MS-AR(0032820)",         130,           -,       0.212,        1.17
"Miami-Fort Lauderdale-West Palm Beach, FL(0033100)",         490,       51940,       0.185,        1.02
"Milwaukee-Waukesha-West Allis, WI(0033340)",         190,       43270,       0.241,        1.33
"Minneapolis-St. Paul-Bloomington, MN-WI(0033460)",         370,       38020,       0.195,        1.08
"Nashville-Davidson--Murfreesboro--Franklin, TN(0034980)",         490,       31390,       0.469,        2.59
"New York-Newark-Jersey City, NY-NJ-PA(0035620)",        1810,       97600,       0.197,        1.09
North Arkansas nonmetropolitan area(0500001),          40,       25570,       0.302,        1.67
North Missouri nonmetropolitan area(2900002),          50,       23190,       0.520,        2.87
"North Port-Sarasota-Bradenton, FL(0035840)",          40,       39170,       0.136,        0.75
North Texas Region of Texas nonmetropolitan area(4800002),          40,       29370,       0.131,        0.72
Northeast Alabama nonmetropolitan area(0100002),          40,       28270,       0.243,        1.34
Northeast Mississippi nonmetropolitan area(2800001),          40,       25370,       0.161,        0.89
Northeastern Wisconsin nonmetropolitan area(5500002),          60,       31360,       0.312,        1.72
Northern Pennsylvania nonmetropolitan area(4200002),          30,       27340,       0.209,        1.15
Northern Vermont nonmetropolitan area(5000002),          30,       41950,       0.468,        2.58
Northern West Virginia nonmetropolitan area(5400002),          40,       27160,       0.304,        1.68
Northwest Lower Peninsula of Michigan nonmetropolitan area(2600003),          50,       26520,       0.406,        2.24
Northwest Minnesota nonmetropolitan area(2700001),         100,       34480,       0.534,        2.94
"Norwich-New London-Westerly, CT-RI(0076450)",          70,       32890,       0.584,        3.22
"Oklahoma City, OK(0036420)",          60,       33760,       0.097,        0.54
"Omaha-Council Bluffs, NE-IA(0036540)",           -,       57510,           -,           -
"Orlando-Kissimmee-Sanford, FL(0036740)",         120,       49940,       0.092,        0.51
"Oxnard-Thousand Oaks-Ventura, CA(0037100)",          50,       49480,       0.159,        0.88
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD(0037980)",         360,           -,       0.130,        0.72
"Phoenix-Mesa-Scottsdale, AZ(0038060)",         140,       35520,       0.063,        0.35
Piedmont North Carolina nonmetropolitan area(3700003),          70,       25350,       0.265,        1.46
"Pittsburgh, PA(0038300)",         160,       37060,       0.148,        0.82
"Portland-South Portland, ME(0076750)",          40,       47140,       0.188,        1.04
"Portland-Vancouver-Hillsboro, OR-WA(0038900)",          90,       78940,       0.073,        0.40
"Providence-Warwick, RI-MA(0077200)",          80,           -,       0.134,        0.74
"Raleigh, NC(0039580)",         100,       58470,       0.147,        0.81
"Rapid City, SD(0039660)",          40,       38670,       0.522,        2.88
"Reno, NV(0039900)",          60,       30500,       0.249,        1.37
"Richmond, VA(0040060)",          70,       37910,       0.111,        0.61
"Riverside-San Bernardino-Ontario, CA(0040140)",         100,           -,       0.064,        0.35
"Roanoke, VA(0040220)",          40,       32460,       0.266,        1.47
"Rochester, NY(0040380)",          60,       36980,       0.121,        0.67
"Sacramento--Roseville--Arden-Arcade, CA(0040900)",         230,           -,       0.223,        1.23
"Saginaw, MI(0040980)",          30,       30400,       0.442,        2.44
"Salisbury, MD-DE(0041540)",          30,       35310,       0.190,        1.05
"Salt Lake City, UT(0041620)",         100,       67600,       0.127,        0.70
"San Antonio-New Braunfels, TX(0041700)",         120,       44410,       0.114,        0.63
"San Diego-Carlsbad, CA(0041740)",         300,           -,       0.204,        1.13
"San Jose-Sunnyvale-Santa Clara, CA(0041940)",         160,           -,       0.140,        0.77
"San Juan-Carolina-Caguas, PR(0041980)",         110,           -,       0.170,        0.94
"Savannah, GA(0042340)",          40,       44040,       0.227,        1.25
"Scranton--Wilkes-Barre--Hazleton, PA(0042540)",          40,       35870,       0.178,        0.98
"Seattle-Tacoma-Bellevue, WA(0042660)",         320,       60610,       0.158,        0.87
"Sioux City, IA-NE-SD(0043580)",          50,       37360,       0.537,        2.96
"South Bend-Mishawaka, IN-MI(0043780)",          40,       38030,       0.314,        1.73
South Central Kentucky nonmetropolitan area(2100002),          50,       26120,       0.298,        1.64
South Central Wisconsin nonmetropolitan area(5500003),          40,       36790,       0.190,        1.05
South Nebraska nonmetropolitan area(3100006),          30,       36040,       0.221,        1.22
Southeast Iowa nonmetropolitan area(1900004),          40,       34040,       0.193,        1.06
Southeast Minnesota nonmetropolitan area(2700004),          80,       29430,       0.568,        3.13
Southeast Mississippi nonmetropolitan area(2800003),          40,       32290,       0.252,        1.39
Southern Indiana nonmetropolitan area(1800003),          50,       36180,       0.279,        1.54
Southern Ohio nonmetropolitan area(3900004),          40,       27630,       0.243,        1.34
Southern Pennsylvania nonmetropolitan area(4200003),          40,       27460,       0.226,        1.24
Southwest Minnesota nonmetropolitan area(2700003),          50,       36660,       0.445,        2.45
"St. Cloud, MN(0041060)",          50,       37080,       0.504,        2.78
"St. Louis, MO-IL(0041180)",         180,       29040,       0.135,        0.74
"State College, PA(0044300)",          40,       25240,       0.614,        3.38
"Syracuse, NY(0045060)",          50,       41020,       0.179,        0.98
"Tampa-St. Petersburg-Clearwater, FL(0045300)",         150,       50210,       0.112,        0.62
"Toledo, OH(0045780)",          30,       33990,       0.112,        0.62
"Trenton, NJ(0045940)",          60,           -,       0.247,        1.36
"Tucson, AZ(0046060)",          60,       33840,       0.152,        0.84
"Tulsa, OK(0046140)",          40,       35710,       0.094,        0.52
Upper Peninsula of Michigan nonmetropolitan area(2600001),          60,       22800,       0.541,        2.98
"Urban Honolulu, HI(0046520)",          80,       46420,       0.183,        1.01
"Virginia Beach-Norfolk-Newport News, VA-NC(0047260)",         110,           -,       0.158,        0.87
"Washington-Arlington-Alexandria, DC-VA-MD-WV(0047900)",         410,       67690,       0.134,        0.74
West Central Illinois nonmetropolitan area(1700002),          40,       33480,       0.250,        1.38
West Kentucky nonmetropolitan area(2100001),          40,       27530,       0.303,        1.67
West North Dakota nonmetropolitan area(3800006),          40,       41670,       0.336,        1.85
West Texas Region of Texas nonmetropolitan area(4800001),          50,       28670,       0.241,        1.33
Western Wisconsin nonmetropolitan area(5500004),          30,       30450,       0.254,        1.40
"Wichita, KS(0048620)",          80,       32980,       0.277,        1.53
"Wilmington, NC(0048900)",          30,       41750,       0.245,        1.35
,,,,
(1)Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,
(8)Estimate not released.,,,,
,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,
"Date extracted on :Nov 01, 2023",,,,
