OBJECTID,Site Name,Address,NPL Status,Site type category,Site type subcategory,Enforcement agreement type,Agreement approval date,Money paid to EPA to do additional cleanup work,Reimbursable Past Costs to EPA,Est. Value of Cleanup Work,Work Party(ies),Type of cleanup work,Link to site profile page,x,y
11,"Union Chemical Co., Inc.","Rte 17, South Hope, ME, 04862",Deleted,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,6/16/1992,1500000,1300000,12150000,"Anson, Inc.<br>Arkwright, Inc.<br>Arlon, Inc.<br>Axton Cross Company<br>Bostitch, Inc.<br>Boston Whaler, Inc.<br>Centronics Data Computer Corp.<br>Cincinnati Milacron Chemicals, Inc.<br>Clean Harbors, Inc.<br>Commercial Disposal Co., Inc.<br>Davidson Interior Trim/Textron<br>Davidson Rubber Co., Inc.<br>Digital Equipment Corp.<br>Eastern Fine Paper, Inc.<br>Ellis Paperboard Products, Inc.<br>Etonic, Inc.<br>Fellows Corp.<br>Fenwal, Inc.<br>Flexcon Co., Inc.<br>Fonda Cup & Container Group<br>Forster Manufacturing Company, Inc.<br>General Electric Company<br>Great Falls Product Co.<br>Haartz Auto Fabric Company<br>Hazen Paper Co.<br>IMC Magnetics Corp.<br>International Packings, Corp.<br>Irving Tanning Company<br>Jet Line Services, Inc.<br>Jones & Vining<br>Kyanize Paints, Inc.<br>Laidlaw Environmental Services (North East), Inc.<br>Maine Coastal Service<br>Maine Pearl Essence<br>Maremont Corp.<br>Mearle Corp.<br>Nashua Corp.<br>Neptco Company Inc.<br>Newport Plastics Corp.<br>Nike Inc.<br>Philips Elmet Corporation<br>Pioneer Plastics, Inc.<br>Prime Tanning Company, Inc.<br>Pro Corp., The<br>Sabre Yachts<br>Saco Defense<br>Sanborn's Motor Express<br>Security-Heel Company<br>Service Chemical Co.<br>State of Maine/Dept of Transportation<br>Steego Auto Parts<br>Thompson Tool Co.<br>Troy Mills Incorporated<br>Union Industries<br>Upaco Adhesives, Inc.<br>Vermont Tap & Die<br>Vernon Plastics Co.<br>Vulcan<br>Waterlac Industries<br>Watts Fluid-Air, Inc.<br>Wilner Wood Products Company<br>Xidex","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100989,-7702087.254122051,5498687.459803349
12,"Laurel Park, Inc.","Hunters Mtn Rd, Naugatuck Borough, CT, 06770",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,8/13/1992,,2600000,200000,"AMF, Inc./Alcort Division/Minstar, Inc.<br>Cadbury Schwepps, Inc.<br>Emhart Industries/Black & Decker<br>Environmental Waste Resources, Inc.<br>Eyelematic Manufacturing Company, Inc.<br>Keeler & Long, Inc.<br>Ken-Chas Reserve Company<br>Kerite Co.<br>Naugatuck Glass Co.<br>Naugatuck Treatment Co.<br>Petro-Petroleum Heat & Power Co., Inc.<br>Risdon Corp.<br>Textron, Inc.<br>Thinsheet Metals Co.<br>Treadwell Corp.<br>Uniroyal, Inc.<br>Unisys Corporation<br>Waterbury Buckle Company","PRP Remedial Design, PRP Remedial Action, Government Remedial Investigation/Feasibility Study, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100232,-8134300.093938702,5082946.635095341
13,"Laurel Park, Inc.","Hunters Mtn Rd, Naugatuck Borough, CT, 06770",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,8/13/1992,1000000,500000,21700000,"AMF Incorporated<br>Cadbury Beverages Inc.<br>Environmental Waste Resources, Inc.<br>Eyelematic Manufacturing Company, Inc.<br>Farrel Company/Emhart Industries, Inc.<br>Keeler & Long, Inc.<br>Ken-Chas Reserve Company<br>Kerite Company<br>Lewis Electronic Instrumentation Operation<br>Naugatuck Treatment Company<br>Petroleum Heat and Power Co., Inc.<br>Risdon Corporation<br>Textron, Inc.<br>Thinsheet Metals Company<br>Treadwell Corporation<br>Uniroyal Chemical Company, Inc.<br>Unisys Corporation<br>Waterbury Buckle Co.","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100232,-8134300.093938702,5082946.635095341
14,Western Sand & Gravel,"Douglas Pike, Burrillville, RI, 02895",Final,Waste Management,Other,Consent Decree,8/28/1992,,850074,4746799,"A&J Tool<br>A.T. Cross Co.<br>Amtrak<br>Arkwright<br>Ciba-Geigy Corporation<br>California Products<br>Crosby Valve<br>Crown Cork<br>Dryvit Systems<br>Englehard Corp.<br>Foxboro Co.<br>Granet Division<br>Gulf & Western<br>ITT Royal<br>Imperial Knife<br>Kyanize Paints<br>L.G. Balfour Co.<br>Mack Trucks, Inc.<br>Monsanto Co.<br>Mossberg Industries<br>NE Tap Co.<br>Narragansett Elect.<br>Nick's Auto Body<br>Nilsinger<br>Olin Corporation<br>Providence Gas<br>R.F. Simmons<br>Robbins Co.<br>Sinclair Manufact.<br>Texas Instruments Inc.<br>Taco, Inc.<br>Whitman Products<br>Working Co.","PRP Remedial Design, Groundwater Monitoring",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101233,-7969918.943344418,5156890.913261018
15,Kellogg-Deering Well Field,"Norwalk Water Department, Norwalk, CT, 06856",Final,Other,Ground water plume site with no identifiable source,Consent Decree,11/25/1992,,800000,9000000,"EDO Corporation<br>Young, Betty<br>Young, Sol","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100252,-8174407.2819571225,5031616.871179288
16,Savage Municipal Water Supply,"Near Rt 101, Milford, NH, 03055",Final,Other,Ground water plume site with no identifiable source,Consent Decree,6/27/1994,,900000,10000000,"Hendrix Real Estate Trust<br>Hendrix Wire & Cable Corp.<br>Hendrix Wire and Cable Company, Inc.<br>Hitchiner Manufacturing Company Inc.<br>Hitchiner Manufacturing Company, Inc.<br>William Hendrix","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101145,-7980316.183784507,5287923.110092601
17,Linemaster Switch Corp.,"29 Plaine Hill Road, Woodstock, CT, 06281",Final,Manufacturing/Processing/Maintenance,Electronic/electrical equipment,Consent Decree,1/4/1995,,105000,4500000,Linemaster Switch Corporation,"PRP Remedial Design, PRP Remedial Action, Five Year Review, Five Year Review, Five Year Review, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100041,-8011323.003430577,5152079.924324104
18,PSC Resources,"10 Water St, Palmer, MA, 01069",Final,Recycling,Waste/used oil,Consent Decree,2/2/1995,,2825750,7000000,"A.R. Sandri, Inc, (Jack's Sunoco)<br>A.R. Sandri, Inc. (Shelburne Falls Sunoco)<br>American Airlines<br>American Saw & Manufacturing Company<br>Americold Corporation<br>AMF Reece Inc.<br>Amherst-Pelham Regional School District<br>Avery Dennison Corp.<br>Avis Rent A Car System, Inc.<br>Balise Motor Sales Company<br>Bancroft Motors, Inc.<br>Bedard Brothers Auto Sales, Inc.<br>Berkshire Industries, Inc.<br>Bert Libon, Inc. and HLT, Inc.<br>Boch Oldsmobile, Inc.<br>Boch Toyota, Inc.<br>Boston Edison Company<br>Bridgestone/Firestone Inc.<br>Butler Automatic, Inc.<br>Cadillac Auto Co. of Boston<br>Central Chevrolet, Inc.<br>Central Motors, Inc.<br>Checker Taxi Company<br>Chevron USA Inc.<br>City of Cambridge<br>City of Gardner<br>City of Leominster<br>City of Medford<br>City of Westfield<br>City of Worcester<br>Clarke & White, Inc.<br>College of The Holy Cross<br>Community Service Station, Inc.<br>Connecticut Valley Artesian Well Co.<br>Coombs Motor Co.<br>Cooper Industries, Inc.<br>Cummins North Atlantic, Inc.<br>Dave Russell Ford, Inc.<br>Dedham Nissan Inc. (Goode Ford)<br>Dedham Super Service, Inc.<br>Desjardin's Auto Service<br>Dooley Equipment Corp. and Browning-Ferris Ind. In<br>Drake Petroleum Compnay, Inc.<br>Depalma AMC Jeep Co.<br>Edward H. Spencer, Inc.<br>Energy Retailers, Inc.<br>Exxon Corporation<br>Falls Machine Screw Co., Inc.<br>First National Supermarkets, Inc.<br>Foreign Cars of Belmont, Inc.<br>Foreign Motors, Inc.<br>Foundry Street Garage<br>Friendly Ice Cream Corp.<br>Fuller Enterprises, Inc.<br>General Dynamics Corporation (Quincy Shipyard)<br>General Dynamics Corporation (Quonset Point & Grot<br>General Electric Company<br>General Electric Company (GE Plastics)<br>General Motors Corporation<br>General Services Administration<br>George Luddy Chevrolet, Inc.<br>Giddings & Lewis, Inc. (The Warner & Swasey Co.)<br>GKN North America, Inc.<br>H.P. Hood Inc.<br>Holmain Investments Ltd. (National Felt Company)<br>Houser Buick, Inc.<br>Housing Associates of Worcester (Coe's Pond Villag<br>Hydramatic Sales & Service Corp.<br>IMO Industries Inc.(Boston Gear Co.)<br>Ingersoil-Rand Co.<br>J.J. Nisson Baking Co.<br>Jarvis Caster Group (National Rubber Molded Produc<br>John Glass Ford, Inc. (Westfield Ford, Inc.)<br>Johnson Ford, Lincoln, Mercury, Nissan, Inc.<br>Kimberly Clark Corporation<br>Kraft General Foods (Dart Industries/Cpc Rexcel)<br>Laidlaw Transit, Inc. (Palmer Motor Coach)<br>Lechmere, Inc.<br>Leicester Die & Tool, Inc.<br>Lily Transportation Corp.<br>Lindberg Heat Treating Co.<br>Longwood Buick Co., Inc.<br>Marane Oil Corporation<br>Massachusetts Air National Guard (1)<br>Massachusetts Army National Guard (1)<br>Massachusetts Bay Transportation Authority<br>Massachusetts Department of Highways (1)<br>Massachusetts Department of Mental Retardation (I)<br>Massachusetts Department of State Police (1)<br>Massachusetts Port Authority<br>Massachusetts Turnpike Authority<br>Massachusetts Water Resources Authority<br>Merchant's Tire Co. Inc.<br>Metropolitan District Commission (1)<br>Millbury Motor Co., Inc.<br>Morgan Construction Company<br>National Car Rental System, Inc.<br>Navistar International Transp. Corp.<br>New England Door Closer, Inc.<br>New England Power Company<br>New England Telephone Company<br>Norton Company<br>Orr Cadillac-Pontiac, Inc.<br>Package Machinery Company<br>Parts Four, Inc.<br>Pathfinder Regional Vocational Technical High School<br>Pepsi-Cola Metropolitan Bottling Co., Inc.<br>Pete's Chrysler-Plymouth-Subaru, Inc.<br>Pioneer Valley Sales & Service, Inc.<br>Plastican Inc.<br>Plymouth Rock Transportation Corp.<br>Premark Internation, Inc. (Tupperware)(Dart Ind.)<br>Procter & Gamble Mfg. Co.<br>Protano's Service Station (Summit Auto)<br>Quamco, Inc.<br>Ragsdale Chevrolet, Inc.<br>Raytheon Company<br>Red Cab, Inc.<br>RHI Holdings Inc.<br>Roadway Express, Inc.<br>Roy Brothers, Inc.<br>Ryder Truck Rental, Inc.<br>S.J. Mcneilly Oldsmobile, Inc.<br>Salamone Toyota<br>Sarat Ford Sales, Inc.<br>Schmidt Equipment, Inc.<br>Seminara Motors, Inc.<br>Seneca Foods Corporation<br>Sherman Oil Co., Inc.<br>Signature Flight Support Corporation (Butler Aviat<br>Spartan Saw Works, Inc.<br>Sunnyside Motor Co., Inc.<br>Texaco Inc.<br>Textron Inc.<br>The Coca-Cola Bottling Company of Ny., Inc.<br>The Dumont Corporation<br>The Felters Company<br>The Goodtear Tire and Rubber Company<br>The Hertz Corporation<br>The Republican Company<br>Tnt Red Star Express Inc.<br>Tom Connolly Pontiac, Inc.<br>Town of Amherst<br>Town of Dalton<br>Town of Greenfield<br>Town of Medfield<br>Town of Palmer<br>Town of Wellesley<br>Town of West Springfield Fire Department<br>Town of Weston<br>Town Taxi, Inc.<br>Transportation Leasing Co. (Vermont Transit)<br>Tyler Equipment Corp.<br>U.S. Tsubaki, Inc. (For Acme Chain)<br>United Parcel Service, Inc.<br>United Technologies Automotive, Inc.<br>United Technologies Corporation<br>University of Massachusetts (1)<br>US Air Force<br>US Army<br>US Coast Guard<br>US Navy<br>US Postal Service<br>Van Brode Group, Inc.<br>Varney's Garage, Inc.<br>Volkswagen Brookline, Inc.<br>Volvo GM Heavy Truck Corproration<br>Walden Industrial Supply Co., Inc.<br>Walter C. Cranston & Son, Inc.<br>Waste Management of Massachusetts, Inc.<br>Westfield Coating Corp.<br>Westinghouse Electric Corp.<br>Witco Corporation & Schultz Lubricants, Inc, (For<br>Woolworth Corporation<br>Worcester Polytechnic Institute<br>Wyman-Gordon Company<br>Zero Corporation","PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100747,-8051770.049854386,5183975.428388656
19,Tibbetts Road,"Tibbetts Rd., Barrington, NH, 03825",Final,Waste Management,Industrial waste facility (non-generator),Consent Decree,3/20/1995,,1165000,3231000,Ford Motor Company,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101208,-7907546.63265295,5339409.938250913
20,"Peterson/Puritan, Inc.","Martin St, Lincoln/Cumberland, RI, 02864",Final,Manufacturing/Processing/Maintenance,Chemicals and allied products,Consent Decree,12/18/1995,,1134498,7300000,"CCL Custom Manufacturing, Inc.<br>Conopco Inc.<br>CPC International, Inc.<br>Lonza, Inc.<br>Pacific Anchor Chemical Company<br>Supervalu Operations, Inc.","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101247,-7951195.004992989,5150436.8490410065
21,Somersworth Sanitary Landfill,"Blackwater Rd, Somersworth, NH, 03878",Final,Waste Management,Industrial waste facility (non-generator),Consent Decree,3/19/1996,,485862,7000000,"Browning-Ferris Industries<br>Cate's Rubbish Removal Service<br>City of Sommersworth<br>D.F. Richard, Inc.<br>Exeter & Hampton Electric Company<br>Fortier & Son, Inc.<br>General Electric Company<br>Gagnon's Auto Body, Inc.<br>General Linen Service Co.<br>J.A. Prince & Sons, Inc.<br>Mid-Way Buick Pontiac Gmc Truck, Inc.<br>New England Telephone & Telegraph Company<br>New Hampshire Printers & Business Forms, Inc.<br>Public Service Company of New Hampshire<br>R.M. Rouleau, Inc.<br>Riverside Garage & Leasing, Inc.<br>Robbins Auto Parts, Inc.<br>Sommersworth Nissan, Inc.<br>Tri-City Dodge, Inc.<br>Waste Management of Maine, Inc.","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101128,-7890826.445135795,5349934.028119452
22,Central Landfill,"65 Shun Pike, Johnston, RI, 02919-4512",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,10/2/1996,,250000,32000000,Rhode Island Resource Recovery Corporation (RIRRC),"PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101277,-7963208.493119905,5132311.457476845
23,BFI Sanitary Landfill (Rockingham),"Rte 5, Rockingham, VT, 05101",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,11/6/1996,,80000,3000000,"Browning Ferris Industries<br>Disposal Specialists, Inc.",PRP Long Term Response Action,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101475,-8063952.632287821,5346494.290646549
